text,label
أصبحت لا أتوقع أي شيء جيد من المستقبل، احباط
أشعر بالوحدة حتى وأنا وسط الجميع، احباط
لقد فقدت الثقة في قدراتي تماماً، احباط
كل فكرة جديدة أبنيها تنهدم بسرعة، احباط
أشعر أنني أعيش في حلقة مفرغة، احباط
لا يوجد من يساندني في لحظات انكساري، احباط
أشعر بالهزيمة الساحقة، احباط
تعبت من كوني الشخص الذي يحاول دائماً، احباط
لقد جفت منابع الإلهام عندي، احباط
أشعر أنني ولدت في الزمان والمكان الخطأ، احباط
كل النجاحات التي حققتها تبدو تافهة الآن، احباط
لقد سئمت من سماع عبارات التشجيع الفارغة، احباط
أشعر أن الدنيا ضاقت بي بما رحبت، احباط
لا أملك القوة للبدء من جديد، احباط
لقد تحطم طموحي على صخرة الواقع، احباط
أشعر أنني أعيش بلا هدف، احباط
كلما وثقت بأحد خذلني، احباط
أشعر بنقص شديد في داخلي، احباط
لماذا لا يساندني الحظ ولو لمرة واحدة، احباط
أشعر أنني أطارد أحلاماً ليست لي، احباط
لقد انطفأ النور الذي كان بداخلي، احباط
أشعر بالثقل في كل خطوة أخطيها، احباط
تعبت من كثرة العثرات، احباط
أشعر أن العالم يسير بدوني، احباط
لا أجد معنى لأي شيء أفعله الآن، احباط
لقد فقدت القدرة على الحلم، احباط
أشعر أنني مجرد رقم لا قيمة له، احباط
كل الأفكار العظيمة تبدو الآن سخيفة، احباط
أشعر بالمرارة في حلقي، احباط
تعبت من كوني دائماً في المركز الأخير، احباط
لقد استسلمت للواقع المر، احباط
أشعر أن جهدي يذهب لغيري، احباط
لا أملك أي خطة بديلة، احباط
لقد انتهى كل شيء قبل أن يبدأ فعلياً، احباط
أشعر بالخمول والرغبة في الاختفاء، احباط
لماذا دائماً أصل متأخرة، احباط
أشعر بالضياع في منتصف الطريق، احباط
لا أحد يفهمني أو يقدر ما أمر به، احباط
لقد خسرت رهان حياتي، احباط
أشعر أنني مجرد آلة تعمل بلا روح، احباط
تعبت من البحث عن مخرج، احباط
أشعر بالندم على كل قرار اتخذته، احباط
لا يوجد شيء يستحق العناء بعد الآن، احباط
لقد تجمدت مشاعري تجاه كل شيء، احباط
أشعر أنني أعيش في ظل الآخرين، احباط
تعبت من مواجهة الفشل وحيدة، احباط
لقد سئمت من الانتظار بلا نتيجة، احباط
أشعر أنني فقدت هويتي، احباط
كل الألوان في عيني أصبحت باهتة، احباط
أشعر أن قلبي مثقل بالخيبات، احباط
لماذا لا أستطيع أن أكون مثلهم، احباط
أشعر أن محاولاتي تثير الشفقة، احباط
تعبت من كوني قوية دائماً، احباط
لقد فقدت البوصلة، احباط
أشعر بضيق في روحي، احباط
لا شيء يغير مزاجي السيئ، احباط
أشعر أنني نسيت كيف يكون الفرح، احباط
لقد انتهى صبري وطاقتي تماماً، احباط
اليوم عندي محاضرة الساعة 10,عادي
ذهبت إلى الجامعة صباحًا,عادي
قرأت الدرس المطلوب,عادي
فتحت الكمبيوتر وبدأت أشتغل,عادي
أكلت الغداء ثم خرجت,عادي
حضرت الاجتماع في الوقت المحدد,عادي
انتهيت من الواجب,عادي
اشتريت كتاب جديد,عادي
ذهبت إلى السوق,عادي
شاهدت فيديو على اليوتيوب,عادي
جلست مع أصدقائي,عادي
اليوم كان الطقس مشمس,عادي
ركبت الباص إلى الجامعة,عادي
استخدمت الهاتف لفترة قصيرة,عادي
فتحت البريد الإلكتروني,عادي
ذهبت للنوم مبكرًا,عادي
استيقظت صباحًا كالمعتاد,عادي
حضرت الدرس كامل,عادي
كتبت ملاحظات المحاضرة,عادي
تناولت الإفطار,عادي
انتهيت من الدراسة,عادي
خرجت للتمشي,عادي
شغلت الكمبيوتر,عادي
أغلقت الهاتف,عادي
حضرت محاضرة اليوم,عادي
ذهبت إلى المكتبة,عادي
قرأت مقال علمي,عادي
رتبت غرفتي,عادي
غسلت يدي قبل الأكل,عادي
شربت كوب ماء,عادي
فتحت كتاب الرياضيات,عادي
حللت بعض التمارين,عادي
حضرت درس أونلاين,عادي
أرسلت رسالة لصديقي,عادي
استلمت إشعار من التطبيق,عادي
بحثت عن معلومات في الإنترنت,عادي
كتبت واجبي,عادي
شغلت الموسيقى,عادي
أوقفت الموسيقى بعد قليل,عادي
ذهبت للنادي الرياضي,عادي
رجعت إلى المنزل,عادي
فتحت النافذة,عادي
أغلقت الباب,عادي
وضعت الكتاب على الطاولة,عادي
نظرت إلى الساعة,عادي
حضرت درس جديد,عادي
رتبت ملفاتي,عادي
قمت بفتح تطبيق الدراسة,عادي
أطفأت الأنوار,عادي
جلست على المكتب وبدأت الدراسة,عادي
فتحت اللاب توب لبدء الدراسة، عادي
شربت كوباً من الشاي، عادي
قرأت مقالاً عن الذكاء الاصطناعي، عادي
أكلت وجبة الغداء مع عائلتي، عادي
رتبت غرفتي اليوم، عادي
مشيت لمدة نصف ساعة، عادي
وصلت إلى الجامعة في الموعد، عادي
تصفحت مواقع التواصل الاجتماعي، عادي
غسلت الأطباق بعد العشاء، عادي
كتبت ملاحظاتي في دفتر صغير، عادي
شحنت بطارية الهاتف، عادي
انتظرت الباص في المحطة، عادي
سمعت بودكاست وأنا أعمل، عادي
أغلقت النافذة بسبب البرد، عادي
اشتريت بعض الأغراض من البقالة، عادي
تحدثت مع زميلي عن المشروع، عادي
أعددت كوباً من القهوة، عادي
لبست ملابسي وخرجت، عادي
نظفت شاشة الحاسوب، عادي
أرسلت بريداً إلكترونياً رسمياً، عادي
شاهدت الأخبار الصباحية، عادي
غيرت خلفية سطح المكتب، عادي
سجلت اسمي في قائمة الحضور، عادي
اشتريت قلماً جديداً، عادي
طبعت الأوراق المطلوبة، عادي
فتحت الحقيبة لإخراج الكتب، عادي
جلست على المقعد في الحديقة، عادي
استخدمت المصعد للوصول للطابق الثالث، عادي
أكلت تفاحة في الاستراحة، عادي
راجعت جدول المحاضرات للأسبوع القادم، عادي
سقيت النباتات في الشرفة، عادي
حملت تطبيقاً جديداً على هاتفي، عادي
ربطت حذاء الرياضة، عادي
أطفأت الأنوار قبل الخروج، عادي
وضعت الكتاب على الرف، عادي
استمعت لشرح الدكتور في القاعة، عادي
اشتريت تذكرة للباص، عادي
فحصت صندوق الوارد في حسابي، عادي
أعددت شطيرة للجبنة، عادي
مشطت شعري أمام المرآة، عادي
تأكدت من إغلاق الباب، عادي
قمت بتحديث نظام التشغيل، عادي
شاهدت صوراً قديمة في هاتفي، عادي
بحثت عن معنى كلمة في القاموس، عادي
كتبت قائمة بالمهام اليومية، عادي
ذهبت إلى المكتبة لاستعارة كتاب، عادي
استبدلت بطارية الريموت، عادي
جلست في المقعد الخلفي للسيارة، عادي
أحضرت زجاجة ماء معي، عادي
رأيت قطة في الشارع، عادي
غيرت مكان المكتب في الغرفة، عادي
قرأت التعليمات الموجودة على العلبة، عادي
استخدمت المناديل الورقية، عادي
دخلت إلى المختبر العلمي، عادي
تحدثت بالهاتف لمدة دقيقتين، عادي
اشتريت خبزاً طازجاً، عادي
وضعت الشاحن في القابس، عادي
فتحت المظلة بسبب المطر الخفيف، عادي
قرأت عناوين الصحف، عادي
تأكدت من رصيد بطاقتي، عادي
لبست ساعتي اليدوية، عادي
مسحت الغبار عن الطاولة، عادي
ركبت القطار المتجه للمدينة، عادي
أكلت بعض المكسرات، عادي
شاهدت غروب الشمس، عادي
استخدمت الآلة الحاسبة، عادي
رتبت أيقونات الهاتف، عادي
وضعت السكر في الشاي، عادي
فتحت الستائر ليدخل الضوء، عادي
بحثت عن مفاتيحي في الحقيبة، عادي
سجلت ملاحظة صوتية قصيرة، عادي
ذهبت للصيدلية لشراء دواء، عادي
غسلت وجهي بالماء البارد، عادي
أنهيت قراءة الفصل الأول، عادي
شغلت المروحة في الغرفة، عادي
نظمت ملفات المشروع في مجلد واحد، عادي
اشتريت قميصاً لونه أزرق، عادي
انتظرت دوري في الطابور، عادي
تحدثت مع جاري في المصعد، عادي
رسمت دائرة على الورقة، عادي
فحصت درجة الحرارة اليوم، عادي
استخدمت معجون الأسنان، عادي
وضعت العطر قبل الخروج، عادي
نقلت الصور إلى الفلاشة، عادي
رأيت طائرة في السماء، عادي
جلست على الأريكة لفترة، عادي
أكلت الزبادي مع العسل، عادي
كتبت رسالة نصية قصيرة، عادي
تأكدت من توقيت الساعة، عادي
فتحت صندوق البريد، عادي
شربت عصيراً طبيعياً، عادي
مشيت في الممر الطويل، عادي
وضعت النظارات الطبية، عادي
أغلقت التطبيقات المفتوحة، عادي
سمعت صوت العصافير في الصباح، عادي
رتبت الأحذية عند المدخل، عادي
اشتريت علكة من المتجر، عادي
قرأت رسالة من صديقي، عادي
مسحت لوحة المفاتيح، عادي
نمت لمدة ثماني ساعات، عادي
